Title,"Median salary of UK domiciled full-time graduates who obtained first degree qualifications and entered full-time paid employment in the UK by subject area of degree, skill marker, country of provider, provider type, work population marker and academic year",,,,,,
(6) Physical sciences,Northern Ireland,All,Paid employment is an activity,Science,High skilled,21000,2017/18
(6) Physical sciences,Northern Ireland,All,Paid employment is an activity,Science,Medium skilled,18000,2017/18
(6) Physical sciences,Northern Ireland,All,Paid employment is an activity,Science,Low skilled,16000,2017/18
(6) Physical sciences,Northern Ireland,All,Paid employment is an activity,All,High skilled,21000,2017/18
(6) Physical sciences,Northern Ireland,All,Paid employment is an activity,All,Medium skilled,18000,2017/18
(6) Physical sciences,Northern Ireland,All,Paid employment is an activity,All,Low skilled,16000,2017/18
(6) Physical sciences,Scotland,All,Paid employment is most important activity,Science,High skilled,24000,2017/18
(6) Physical sciences,Scotland,All,Paid employment is most important activity,Science,Medium skilled,18000,2017/18
(6) Physical sciences,Scotland,All,Paid employment is most important activity,Science,Low skilled,16000,2017/18
(6) Physical sciences,Scotland,All,Paid employment is most important activity,All,High skilled,24000,2017/18
(6) Physical sciences,Scotland,All,Paid employment is most important activity,All,Medium skilled,18000,2017/18
(6) Physical sciences,Scotland,All,Paid employment is most important activity,All,Low skilled,16000,2017/18
(6) Physical sciences,Scotland,All,Paid employment is an activity,Science,High skilled,24000,2017/18
(6) Physical sciences,Scotland,All,Paid employment is an activity,Science,Medium skilled,18000,2017/18
(6) Physical sciences,Scotland,All,Paid employment is an activity,Science,Low skilled,16000,2017/18
(6) Physical sciences,Scotland,All,Paid employment is an activity,All,High skilled,24000,2017/18
(6) Physical sciences,Scotland,All,Paid employment is an activity,All,Medium skilled,18000,2017/18
(6) Physical sciences,Scotland,All,Paid employment is an activity,All,Low skilled,16000,2017/18
(6) Physical sciences,Wales,All,Paid employment is most important activity,Science,High skilled,23500,2017/18
(6) Physical sciences,Wales,All,Paid employment is most important activity,Science,Medium skilled,18000,2017/18
(6) Physical sciences,Wales,All,Paid employment is most important activity,Science,Low skilled,18000,2017/18
(6) Physical sciences,Wales,All,Paid employment is most important activity,All,High skilled,23500,2017/18
(6) Physical sciences,Wales,All,Paid employment is most important activity,All,Medium skilled,18000,2017/18
(6) Physical sciences,Wales,All,Paid employment is most important activity,All,Low skilled,18000,2017/18
(6) Physical sciences,Wales,All,Paid employment is an activity,Science,High skilled,23000,2017/18
(6) Physical sciences,Wales,All,Paid employment is an activity,Science,Medium skilled,19000,2017/18
(6) Physical sciences,Wales,All,Paid employment is an activity,Science,Low skilled,18000,2017/18
(6) Physical sciences,Wales,All,Paid employment is an activity,All,High skilled,23000,2017/18
(6) Physical sciences,Wales,All,Paid employment is an activity,All,Medium skilled,19000,2017/18
(6) Physical sciences,Wales,All,Paid employment is an activity,All,Low skilled,18000,2017/18
(6) Physical sciences,England,Further education colleges (FECs),Paid employment is most important activity,All,High skilled,,2017/18
(6) Physical sciences,England,Further education colleges (FECs),Paid employment is most important activity,All,Medium skilled,,2017/18
(6) Physical sciences,England,Further education colleges (FECs),Paid employment is most important activity,All,Low skilled,,2017/18
(6) Physical sciences,England,Further education colleges (FECs),Paid employment is an activity,All,High skilled,,2017/18
(6) Physical sciences,England,Further education colleges (FECs),Paid employment is an activity,All,Medium skilled,,2017/18
(6) Physical sciences,England,Further education colleges (FECs),Paid employment is an activity,All,Low skilled,,2017/18
(6) Physical sciences,England,Higher education providers (HEPs),Paid employment is most important activity,All,High skilled,25000,2017/18
(6) Physical sciences,England,Higher education providers (HEPs),Paid employment is most important activity,All,Medium skilled,20000,2017/18
(6) Physical sciences,England,Higher education providers (HEPs),Paid employment is most important activity,All,Low skilled,18000,2017/18
(6) Physical sciences,England,Higher education providers (HEPs),Paid employment is an activity,All,High skilled,25000,2017/18
(6) Physical sciences,England,Higher education providers (HEPs),Paid employment is an activity,All,Medium skilled,20000,2017/18
(6) Physical sciences,England,Higher education providers (HEPs),Paid employment is an activity,All,Low skilled,18000,2017/18
(6) Physical sciences,Northern Ireland,Higher education providers (HEPs),Paid employment is most important activity,All,High skilled,21000,2017/18
(6) Physical sciences,Northern Ireland,Higher education providers (HEPs),Paid employment is most important activity,All,Medium skilled,18000,2017/18
(6) Physical sciences,Northern Ireland,Higher education providers (HEPs),Paid employment is most important activity,All,Low skilled,16000,2017/18
(6) Physical sciences,Northern Ireland,Higher education providers (HEPs),Paid employment is an activity,All,High skilled,21000,2017/18
(6) Physical sciences,Northern Ireland,Higher education providers (HEPs),Paid employment is an activity,All,Medium skilled,18000,2017/18
(6) Physical sciences,Northern Ireland,Higher education providers (HEPs),Paid employment is an activity,All,Low skilled,16000,2017/18
(6) Physical sciences,Scotland,Higher education providers (HEPs),Paid employment is most important activity,All,High skilled,24000,2017/18
(6) Physical sciences,Scotland,Higher education providers (HEPs),Paid employment is most important activity,All,Medium skilled,18000,2017/18
(6) Physical sciences,Scotland,Higher education providers (HEPs),Paid employment is most important activity,All,Low skilled,16000,2017/18
(6) Physical sciences,Scotland,Higher education providers (HEPs),Paid employment is an activity,All,High skilled,24000,2017/18
(6) Physical sciences,Scotland,Higher education providers (HEPs),Paid employment is an activity,All,Medium skilled,18000,2017/18
(6) Physical sciences,Scotland,Higher education providers (HEPs),Paid employment is an activity,All,Low skilled,16000,2017/18
(6) Physical sciences,Wales,Further education colleges (FECs),Paid employment is most important activity,All,High skilled,,2017/18
(6) Physical sciences,Wales,Further education colleges (FECs),Paid employment is most important activity,All,Medium skilled,,2017/18
(6) Physical sciences,Wales,Further education colleges (FECs),Paid employment is most important activity,All,Low skilled,,2017/18
(6) Physical sciences,Wales,Further education colleges (FECs),Paid employment is an activity,All,High skilled,,2017/18
(6) Physical sciences,Wales,Further education colleges (FECs),Paid employment is an activity,All,Medium skilled,,2017/18
(6) Physical sciences,Wales,Further education colleges (FECs),Paid employment is an activity,All,Low skilled,,2017/18
(6) Physical sciences,Wales,Higher education providers (HEPs),Paid employment is most important activity,All,High skilled,23500,2017/18
(6) Physical sciences,Wales,Higher education providers (HEPs),Paid employment is most important activity,All,Medium skilled,18000,2017/18
(6) Physical sciences,Wales,Higher education providers (HEPs),Paid employment is most important activity,All,Low skilled,18000,2017/18
(6) Physical sciences,Wales,Higher education providers (HEPs),Paid employment is an activity,All,High skilled,23000,2017/18
(6) Physical sciences,Wales,Higher education providers (HEPs),Paid employment is an activity,All,Medium skilled,19000,2017/18
(6) Physical sciences,Wales,Higher education providers (HEPs),Paid employment is an activity,All,Low skilled,18000,2017/18
(7) Mathematical sciences,England,Further education colleges (FECs),Paid employment is most important activity,Science,High skilled,,2017/18
(7) Mathematical sciences,England,Further education colleges (FECs),Paid employment is most important activity,Science,Medium skilled,,2017/18
(7) Mathematical sciences,England,Further education colleges (FECs),Paid employment is most important activity,Science,Low skilled,,2017/18
(7) Mathematical sciences,England,Further education colleges (FECs),Paid employment is an activity,Science,High skilled,,2017/18
(7) Mathematical sciences,England,Further education colleges (FECs),Paid employment is an activity,Science,Medium skilled,,2017/18
(7) Mathematical sciences,England,Further education colleges (FECs),Paid employment is an activity,Science,Low skilled,,2017/18
(7) Mathematical sciences,England,Higher education providers (HEPs),Paid employment is most important activity,Science,High skilled,28000,2017/18
(7) Mathematical sciences,England,Higher education providers (HEPs),Paid employment is most important activity,Science,Medium skilled,21000,2017/18
(7) Mathematical sciences,England,Higher education providers (HEPs),Paid employment is most important activity,Science,Low skilled,18000,2017/18
(7) Mathematical sciences,England,Higher education providers (HEPs),Paid employment is an activity,Science,High skilled,28000,2017/18
(7) Mathematical sciences,England,Higher education providers (HEPs),Paid employment is an activity,Science,Medium skilled,21000,2017/18
(7) Mathematical sciences,England,Higher education providers (HEPs),Paid employment is an activity,Science,Low skilled,18000,2017/18
(7) Mathematical sciences,Northern Ireland,Higher education providers (HEPs),Paid employment is most important activity,Science,High skilled,20000,2017/18
(7) Mathematical sciences,Northern Ireland,Higher education providers (HEPs),Paid employment is most important activity,Science,Medium skilled,,2017/18
(7) Mathematical sciences,Northern Ireland,Higher education providers (HEPs),Paid employment is most important activity,Science,Low skilled,,2017/18
(7) Mathematical sciences,Northern Ireland,Higher education providers (HEPs),Paid employment is an activity,Science,High skilled,20000,2017/18
(7) Mathematical sciences,Northern Ireland,Higher education providers (HEPs),Paid employment is an activity,Science,Medium skilled,,2017/18
(7) Mathematical sciences,Northern Ireland,Higher education providers (HEPs),Paid employment is an activity,Science,Low skilled,,2017/18
(7) Mathematical sciences,Scotland,Higher education providers (HEPs),Paid employment is most important activity,Science,High skilled,27000,2017/18
(7) Mathematical sciences,Scotland,Higher education providers (HEPs),Paid employment is most important activity,Science,Medium skilled,19000,2017/18
(7) Mathematical sciences,Scotland,Higher education providers (HEPs),Paid employment is most important activity,Science,Low skilled,16000,2017/18
(7) Mathematical sciences,Scotland,Higher education providers (HEPs),Paid employment is an activity,Science,High skilled,27000,2017/18
(7) Mathematical sciences,Scotland,Higher education providers (HEPs),Paid employment is an activity,Science,Medium skilled,19000,2017/18
(7) Mathematical sciences,Scotland,Higher education providers (HEPs),Paid employment is an activity,Science,Low skilled,16000,2017/18
(7) Mathematical sciences,Wales,Further education colleges (FECs),Paid employment is most important activity,Science,High skilled,,2017/18
(7) Mathematical sciences,Wales,Further education colleges (FECs),Paid employment is most important activity,Science,Medium skilled,,2017/18
(7) Mathematical sciences,Wales,Further education colleges (FECs),Paid employment is most important activity,Science,Low skilled,,2017/18
(7) Mathematical sciences,Wales,Further education colleges (FECs),Paid employment is an activity,Science,High skilled,,2017/18
(7) Mathematical sciences,Wales,Further education colleges (FECs),Paid employment is an activity,Science,Medium skilled,,2017/18
(7) Mathematical sciences,Wales,Further education colleges (FECs),Paid employment is an activity,Science,Low skilled,,2017/18
(7) Mathematical sciences,Wales,Higher education providers (HEPs),Paid employment is most important activity,Science,High skilled,24000,2017/18
(7) Mathematical sciences,Wales,Higher education providers (HEPs),Paid employment is most important activity,Science,Medium skilled,18000,2017/18
(7) Mathematical sciences,Wales,Higher education providers (HEPs),Paid employment is most important activity,Science,Low skilled,,2017/18
(7) Mathematical sciences,Wales,Higher education providers (HEPs),Paid employment is an activity,Science,High skilled,24000,2017/18
(7) Mathematical sciences,Wales,Higher education providers (HEPs),Paid employment is an activity,Science,Medium skilled,18000,2017/18
(7) Mathematical sciences,Wales,Higher education providers (HEPs),Paid employment is an activity,Science,Low skilled,,2017/18
(7) Mathematical sciences,All,Further education colleges (FECs),Paid employment is most important activity,Science,High skilled,,2017/18
(7) Mathematical sciences,All,Further education colleges (FECs),Paid employment is most important activity,Science,Medium skilled,,2017/18
(7) Mathematical sciences,All,Further education colleges (FECs),Paid employment is most important activity,Science,Low skilled,,2017/18
(7) Mathematical sciences,All,Further education colleges (FECs),Paid employment is most important activity,All,High skilled,,2017/18
(7) Mathematical sciences,All,Further education colleges (FECs),Paid employment is most important activity,All,Medium skilled,,2017/18
(7) Mathematical sciences,All,Further education colleges (FECs),Paid employment is most important activity,All,Low skilled,,2017/18
(7) Mathematical sciences,All,Further education colleges (FECs),Paid employment is an activity,Science,High skilled,,2017/18
(7) Mathematical sciences,All,Further education colleges (FECs),Paid employment is an activity,Science,Medium skilled,,2017/18
(7) Mathematical sciences,All,Further education colleges (FECs),Paid employment is an activity,Science,Low skilled,,2017/18
(7) Mathematical sciences,All,Further education colleges (FECs),Paid employment is an activity,All,High skilled,,2017/18
(7) Mathematical sciences,All,Further education colleges (FECs),Paid employment is an activity,All,Medium skilled,,2017/18
(7) Mathematical sciences,All,Further education colleges (FECs),Paid employment is an activity,All,Low skilled,,2017/18
(7) Mathematical sciences,All,Higher education providers (HEPs),Paid employment is most important activity,Science,High skilled,27000,2017/18
(7) Mathematical sciences,All,Higher education providers (HEPs),Paid employment is most important activity,Science,Medium skilled,20000,2017/18
(7) Mathematical sciences,All,Higher education providers (HEPs),Paid employment is most important activity,Science,Low skilled,18000,2017/18
(7) Mathematical sciences,All,Higher education providers (HEPs),Paid employment is most important activity,All,High skilled,27000,2017/18
(7) Mathematical sciences,All,Higher education providers (HEPs),Paid employment is most important activity,All,Medium skilled,20000,2017/18
(7) Mathematical sciences,All,Higher education providers (HEPs),Paid employment is most important activity,All,Low skilled,18000,2017/18
(7) Mathematical sciences,All,Higher education providers (HEPs),Paid employment is an activity,Science,High skilled,27000,2017/18
(7) Mathematical sciences,All,Higher education providers (HEPs),Paid employment is an activity,Science,Medium skilled,20000,2017/18
(7) Mathematical sciences,All,Higher education providers (HEPs),Paid employment is an activity,Science,Low skilled,18000,2017/18
(7) Mathematical sciences,All,Higher education providers (HEPs),Paid employment is an activity,All,High skilled,27000,2017/18
(7) Mathematical sciences,All,Higher education providers (HEPs),Paid employment is an activity,All,Medium skilled,20000,2017/18
(7) Mathematical sciences,All,Higher education providers (HEPs),Paid employment is an activity,All,Low skilled,18000,2017/18
(7) Mathematical sciences,All,All,Paid employment is most important activity,Science,High skilled,27000,2017/18
(7) Mathematical sciences,All,All,Paid employment is most important activity,Science,Medium skilled,20000,2017/18
(7) Mathematical sciences,All,All,Paid employment is most important activity,Science,Low skilled,18000,2017/18
(7) Mathematical sciences,All,All,Paid employment is most important activity,All,High skilled,27000,2017/18
(7) Mathematical sciences,All,All,Paid employment is most important activity,All,Medium skilled,20000,2017/18
(7) Mathematical sciences,All,All,Paid employment is most important activity,All,Low skilled,18000,2017/18
(7) Mathematical sciences,All,All,Paid employment is an activity,Science,High skilled,27000,2017/18
(7) Mathematical sciences,All,All,Paid employment is an activity,Science,Medium skilled,20000,2017/18
(7) Mathematical sciences,All,All,Paid employment is an activity,Science,Low skilled,18000,2017/18
(7) Mathematical sciences,All,All,Paid employment is an activity,All,High skilled,27000,2017/18
(7) Mathematical sciences,All,All,Paid employment is an activity,All,Medium skilled,20000,2017/18
(7) Mathematical sciences,All,All,Paid employment is an activity,All,Low skilled,18000,2017/18
(7) Mathematical sciences,England,All,Paid employment is most important activity,Science,High skilled,28000,2017/18
(7) Mathematical sciences,England,All,Paid employment is most important activity,Science,Medium skilled,21000,2017/18
(7) Mathematical sciences,England,All,Paid employment is most important activity,Science,Low skilled,18000,2017/18
(7) Mathematical sciences,England,All,Paid employment is most important activity,All,High skilled,28000,2017/18
(7) Mathematical sciences,England,All,Paid employment is most important activity,All,Medium skilled,21000,2017/18
(7) Mathematical sciences,England,All,Paid employment is most important activity,All,Low skilled,18000,2017/18
(7) Mathematical sciences,England,All,Paid employment is an activity,Science,High skilled,28000,2017/18
(7) Mathematical sciences,England,All,Paid employment is an activity,Science,Medium skilled,21000,2017/18
(7) Mathematical sciences,England,All,Paid employment is an activity,Science,Low skilled,18000,2017/18
(7) Mathematical sciences,England,All,Paid employment is an activity,All,High skilled,28000,2017/18
(7) Mathematical sciences,England,All,Paid employment is an activity,All,Medium skilled,21000,2017/18
(7) Mathematical sciences,England,All,Paid employment is an activity,All,Low skilled,18000,2017/18
(7) Mathematical sciences,Northern Ireland,All,Paid employment is most important activity,Science,High skilled,20000,2017/18
(7) Mathematical sciences,Northern Ireland,All,Paid employment is most important activity,Science,Medium skilled,,2017/18
(7) Mathematical sciences,Northern Ireland,All,Paid employment is most important activity,Science,Low skilled,,2017/18
(7) Mathematical sciences,Northern Ireland,All,Paid employment is most important activity,All,High skilled,20000,2017/18
(7) Mathematical sciences,Northern Ireland,All,Paid employment is most important activity,All,Medium skilled,,2017/18
(7) Mathematical sciences,Northern Ireland,All,Paid employment is most important activity,All,Low skilled,,2017/18
(7) Mathematical sciences,Northern Ireland,All,Paid employment is an activity,Science,High skilled,20000,2017/18
(7) Mathematical sciences,Northern Ireland,All,Paid employment is an activity,Science,Medium skilled,,2017/18
(7) Mathematical sciences,Northern Ireland,All,Paid employment is an activity,Science,Low skilled,,2017/18
(7) Mathematical sciences,Northern Ireland,All,Paid employment is an activity,All,High skilled,20000,2017/18
(7) Mathematical sciences,Northern Ireland,All,Paid employment is an activity,All,Medium skilled,,2017/18
(7) Mathematical sciences,Northern Ireland,All,Paid employment is an activity,All,Low skilled,,2017/18
(7) Mathematical sciences,Scotland,All,Paid employment is most important activity,Science,High skilled,27000,2017/18
(7) Mathematical sciences,Scotland,All,Paid employment is most important activity,Science,Medium skilled,19000,2017/18
(7) Mathematical sciences,Scotland,All,Paid employment is most important activity,Science,Low skilled,16000,2017/18
(7) Mathematical sciences,Scotland,All,Paid employment is most important activity,All,High skilled,27000,2017/18
(7) Mathematical sciences,Scotland,All,Paid employment is most important activity,All,Medium skilled,19000,2017/18
(7) Mathematical sciences,Scotland,All,Paid employment is most important activity,All,Low skilled,16000,2017/18
(7) Mathematical sciences,Scotland,All,Paid employment is an activity,Science,High skilled,27000,2017/18
(7) Mathematical sciences,Scotland,All,Paid employment is an activity,Science,Medium skilled,19000,2017/18
(7) Mathematical sciences,Scotland,All,Paid employment is an activity,Science,Low skilled,16000,2017/18
(7) Mathematical sciences,Scotland,All,Paid employment is an activity,All,High skilled,27000,2017/18
(7) Mathematical sciences,Scotland,All,Paid employment is an activity,All,Medium skilled,19000,2017/18
(7) Mathematical sciences,Scotland,All,Paid employment is an activity,All,Low skilled,16000,2017/18
(7) Mathematical sciences,Wales,All,Paid employment is most important activity,Science,High skilled,24000,2017/18
(7) Mathematical sciences,Wales,All,Paid employment is most important activity,Science,Medium skilled,18000,2017/18
(7) Mathematical sciences,Wales,All,Paid employment is most important activity,Science,Low skilled,,2017/18
(7) Mathematical sciences,Wales,All,Paid employment is most important activity,All,High skilled,24000,2017/18
(7) Mathematical sciences,Wales,All,Paid employment is most important activity,All,Medium skilled,18000,2017/18
(7) Mathematical sciences,Wales,All,Paid employment is most important activity,All,Low skilled,,2017/18
(7) Mathematical sciences,Wales,All,Paid employment is an activity,Science,High skilled,24000,2017/18
(7) Mathematical sciences,Wales,All,Paid employment is an activity,Science,Medium skilled,18000,2017/18
(7) Mathematical sciences,Wales,All,Paid employment is an activity,Science,Low skilled,,2017/18
(7) Mathematical sciences,Wales,All,Paid employment is an activity,All,High skilled,24000,2017/18
(7) Mathematical sciences,Wales,All,Paid employment is an activity,All,Medium skilled,18000,2017/18
(7) Mathematical sciences,Wales,All,Paid employment is an activity,All,Low skilled,,2017/18
(7) Mathematical sciences,England,Further education colleges (FECs),Paid employment is most important activity,All,High skilled,,2017/18
(7) Mathematical sciences,England,Further education colleges (FECs),Paid employment is most important activity,All,Medium skilled,,2017/18
(7) Mathematical sciences,England,Further education colleges (FECs),Paid employment is most important activity,All,Low skilled,,2017/18
(7) Mathematical sciences,England,Further education colleges (FECs),Paid employment is an activity,All,High skilled,,2017/18
(7) Mathematical sciences,England,Further education colleges (FECs),Paid employment is an activity,All,Medium skilled,,2017/18
(7) Mathematical sciences,England,Further education colleges (FECs),Paid employment is an activity,All,Low skilled,,2017/18
(7) Mathematical sciences,England,Higher education providers (HEPs),Paid employment is most important activity,All,High skilled,28000,2017/18
(7) Mathematical sciences,England,Higher education providers (HEPs),Paid employment is most important activity,All,Medium skilled,21000,2017/18
(7) Mathematical sciences,England,Higher education providers (HEPs),Paid employment is most important activity,All,Low skilled,18000,2017/18
(7) Mathematical sciences,England,Higher education providers (HEPs),Paid employment is an activity,All,High skilled,28000,2017/18
(7) Mathematical sciences,England,Higher education providers (HEPs),Paid employment is an activity,All,Medium skilled,21000,2017/18
(7) Mathematical sciences,England,Higher education providers (HEPs),Paid employment is an activity,All,Low skilled,18000,2017/18
(7) Mathematical sciences,Northern Ireland,Higher education providers (HEPs),Paid employment is most important activity,All,High skilled,20000,2017/18
(7) Mathematical sciences,Northern Ireland,Higher education providers (HEPs),Paid employment is most important activity,All,Medium skilled,,2017/18
(7) Mathematical sciences,Northern Ireland,Higher education providers (HEPs),Paid employment is most important activity,All,Low skilled,,2017/18
(7) Mathematical sciences,Northern Ireland,Higher education providers (HEPs),Paid employment is an activity,All,High skilled,20000,2017/18
(7) Mathematical sciences,Northern Ireland,Higher education providers (HEPs),Paid employment is an activity,All,Medium skilled,,2017/18
(7) Mathematical sciences,Northern Ireland,Higher education providers (HEPs),Paid employment is an activity,All,Low skilled,,2017/18
(7) Mathematical sciences,Scotland,Higher education providers (HEPs),Paid employment is most important activity,All,High skilled,27000,2017/18
(7) Mathematical sciences,Scotland,Higher education providers (HEPs),Paid employment is most important activity,All,Medium skilled,19000,2017/18
(7) Mathematical sciences,Scotland,Higher education providers (HEPs),Paid employment is most important activity,All,Low skilled,16000,2017/18
(7) Mathematical sciences,Scotland,Higher education providers (HEPs),Paid employment is an activity,All,High skilled,27000,2017/18
(7) Mathematical sciences,Scotland,Higher education providers (HEPs),Paid employment is an activity,All,Medium skilled,19000,2017/18
(7) Mathematical sciences,Scotland,Higher education providers (HEPs),Paid employment is an activity,All,Low skilled,16000,2017/18
(7) Mathematical sciences,Wales,Further education colleges (FECs),Paid employment is most important activity,All,High skilled,,2017/18
(7) Mathematical sciences,Wales,Further education colleges (FECs),Paid employment is most important activity,All,Medium skilled,,2017/18
(7) Mathematical sciences,Wales,Further education colleges (FECs),Paid employment is most important activity,All,Low skilled,,2017/18
(7) Mathematical sciences,Wales,Further education colleges (FECs),Paid employment is an activity,All,High skilled,,2017/18
(7) Mathematical sciences,Wales,Further education colleges (FECs),Paid employment is an activity,All,Medium skilled,,2017/18
(7) Mathematical sciences,Wales,Further education colleges (FECs),Paid employment is an activity,All,Low skilled,,2017/18
(7) Mathematical sciences,Wales,Higher education providers (HEPs),Paid employment is most important activity,All,High skilled,24000,2017/18
(7) Mathematical sciences,Wales,Higher education providers (HEPs),Paid employment is most important activity,All,Medium skilled,18000,2017/18
(7) Mathematical sciences,Wales,Higher education providers (HEPs),Paid employment is most important activity,All,Low skilled,,2017/18
(7) Mathematical sciences,Wales,Higher education providers (HEPs),Paid employment is an activity,All,High skilled,24000,2017/18
(7) Mathematical sciences,Wales,Higher education providers (HEPs),Paid employment is an activity,All,Medium skilled,18000,2017/18
(7) Mathematical sciences,Wales,Higher education providers (HEPs),Paid employment is an activity,All,Low skilled,,2017/18
(8) Computer science,England,Further education colleges (FECs),Paid employment is most important activity,Science,High skilled,23000,2017/18
(8) Computer science,England,Further education colleges (FECs),Paid employment is most important activity,Science,Medium skilled,,2017/18
(8) Computer science,England,Further education colleges (FECs),Paid employment is most important activity,Science,Low skilled,14000,2017/18
(8) Computer science,England,Further education colleges (FECs),Paid employment is an activity,Science,High skilled,23000,2017/18
(8) Computer science,England,Further education colleges (FECs),Paid employment is an activity,Science,Medium skilled,,2017/18
(8) Computer science,England,Further education colleges (FECs),Paid employment is an activity,Science,Low skilled,14000,2017/18
(8) Computer science,England,Higher education providers (HEPs),Paid employment is most important activity,Science,High skilled,27000,2017/18
(8) Computer science,England,Higher education providers (HEPs),Paid employment is most important activity,Science,Medium skilled,20000,2017/18
(8) Computer science,England,Higher education providers (HEPs),Paid employment is most important activity,Science,Low skilled,18000,2017/18
(8) Computer science,England,Higher education providers (HEPs),Paid employment is an activity,Science,High skilled,27000,2017/18
(8) Computer science,England,Higher education providers (HEPs),Paid employment is an activity,Science,Medium skilled,20000,2017/18
(8) Computer science,England,Higher education providers (HEPs),Paid employment is an activity,Science,Low skilled,18000,2017/18
(8) Computer science,Northern Ireland,Higher education providers (HEPs),Paid employment is most important activity,Science,High skilled,24000,2017/18
(8) Computer science,Northern Ireland,Higher education providers (HEPs),Paid employment is most important activity,Science,Medium skilled,20000,2017/18
(8) Computer science,Northern Ireland,Higher education providers (HEPs),Paid employment is most important activity,Science,Low skilled,,2017/18
(8) Computer science,Northern Ireland,Higher education providers (HEPs),Paid employment is an activity,Science,High skilled,24000,2017/18
(8) Computer science,Northern Ireland,Higher education providers (HEPs),Paid employment is an activity,Science,Medium skilled,20000,2017/18
(8) Computer science,Northern Ireland,Higher education providers (HEPs),Paid employment is an activity,Science,Low skilled,,2017/18
(8) Computer science,Scotland,Higher education providers (HEPs),Paid employment is most important activity,Science,High skilled,28000,2017/18
(8) Computer science,Scotland,Higher education providers (HEPs),Paid employment is most important activity,Science,Medium skilled,18000,2017/18
(8) Computer science,Scotland,Higher education providers (HEPs),Paid employment is most important activity,Science,Low skilled,17000,2017/18
(8) Computer science,Scotland,Higher education providers (HEPs),Paid employment is an activity,Science,High skilled,28000,2017/18
(8) Computer science,Scotland,Higher education providers (HEPs),Paid employment is an activity,Science,Medium skilled,18000,2017/18
(8) Computer science,Scotland,Higher education providers (HEPs),Paid employment is an activity,Science,Low skilled,17000,2017/18
(8) Computer science,Wales,Further education colleges (FECs),Paid employment is most important activity,Science,High skilled,,2017/18
(8) Computer science,Wales,Further education colleges (FECs),Paid employment is most important activity,Science,Medium skilled,,2017/18
(8) Computer science,Wales,Further education colleges (FECs),Paid employment is most important activity,Science,Low skilled,,2017/18
(8) Computer science,Wales,Further education colleges (FECs),Paid employment is an activity,Science,High skilled,,2017/18
(8) Computer science,Wales,Further education colleges (FECs),Paid employment is an activity,Science,Medium skilled,,2017/18
(8) Computer science,Wales,Further education colleges (FECs),Paid employment is an activity,Science,Low skilled,,2017/18
(8) Computer science,Wales,Higher education providers (HEPs),Paid employment is most important activity,Science,High skilled,25000,2017/18
(8) Computer science,Wales,Higher education providers (HEPs),Paid employment is most important activity,Science,Medium skilled,21000,2017/18
(8) Computer science,Wales,Higher education providers (HEPs),Paid employment is most important activity,Science,Low skilled,17000,2017/18
(8) Computer science,Wales,Higher education providers (HEPs),Paid employment is an activity,Science,High skilled,25000,2017/18
(8) Computer science,Wales,Higher education providers (HEPs),Paid employment is an activity,Science,Medium skilled,21000,2017/18
(8) Computer science,Wales,Higher education providers (HEPs),Paid employment is an activity,Science,Low skilled,17000,2017/18
(8) Computer science,All,Further education colleges (FECs),Paid employment is most important activity,Science,High skilled,23000,2017/18
(8) Computer science,All,Further education colleges (FECs),Paid employment is most important activity,Science,Medium skilled,,2017/18
(8) Computer science,All,Further education colleges (FECs),Paid employment is most important activity,Science,Low skilled,14000,2017/18
(8) Computer science,All,Further education colleges (FECs),Paid employment is most important activity,All,High skilled,23000,2017/18
(8) Computer science,All,Further education colleges (FECs),Paid employment is most important activity,All,Medium skilled,,2017/18
(8) Computer science,All,Further education colleges (FECs),Paid employment is most important activity,All,Low skilled,14000,2017/18
(8) Computer science,All,Further education colleges (FECs),Paid employment is an activity,Science,High skilled,23000,2017/18
(8) Computer science,All,Further education colleges (FECs),Paid employment is an activity,Science,Medium skilled,,2017/18
(8) Computer science,All,Further education colleges (FECs),Paid employment is an activity,Science,Low skilled,14000,2017/18
(8) Computer science,All,Further education colleges (FECs),Paid employment is an activity,All,High skilled,23000,2017/18
(8) Computer science,All,Further education colleges (FECs),Paid employment is an activity,All,Medium skilled,,2017/18
(8) Computer science,All,Further education colleges (FECs),Paid employment is an activity,All,Low skilled,14000,2017/18
(8) Computer science,All,Higher education providers (HEPs),Paid employment is most important activity,Science,High skilled,27000,2017/18
(8) Computer science,All,Higher education providers (HEPs),Paid employment is most important activity,Science,Medium skilled,20000,2017/18
(8) Computer science,All,Higher education providers (HEPs),Paid employment is most important activity,Science,Low skilled,18000,2017/18
(8) Computer science,All,Higher education providers (HEPs),Paid employment is most important activity,All,High skilled,27000,2017/18
(8) Computer science,All,Higher education providers (HEPs),Paid employment is most important activity,All,Medium skilled,20000,2017/18
(8) Computer science,All,Higher education providers (HEPs),Paid employment is most important activity,All,Low skilled,18000,2017/18
(8) Computer science,All,Higher education providers (HEPs),Paid employment is an activity,Science,High skilled,27000,2017/18
(8) Computer science,All,Higher education providers (HEPs),Paid employment is an activity,Science,Medium skilled,20000,2017/18
(8) Computer science,All,Higher education providers (HEPs),Paid employment is an activity,Science,Low skilled,18000,2017/18
(8) Computer science,All,Higher education providers (HEPs),Paid employment is an activity,All,High skilled,27000,2017/18
